# r      Exact       Approx       Abserr
3.8732283 -0.11947539 -0.11947539 4.1285031e-13
3.8795276 -0.11898544 -0.11898544 4.0427384e-13
3.8858268 -0.11849694 -0.11849694 3.9891701e-13
3.892126 -0.11800988 -0.11800988 3.9752923e-13
3.8984252 -0.11752426 -0.11752426 3.9152015e-13
3.9047244 -0.11704009 -0.11704009 3.8516412e-13
3.9110236 -0.11655737 -0.11655737 3.7798931e-13
3.9173228 -0.1160761 -0.1160761 3.7908565e-13
3.923622 -0.11559627 -0.11559627 3.7565784e-13
3.9299213 -0.11511789 -0.11511789 3.6476377e-13
3.9362205 -0.11464096 -0.11464096 3.631262e-13
3.9425197 -0.11416549 -0.11416549 3.5763059e-13
